No,[usec],,,
832,1040,-0.006039719,,
833,1041.25,-0.006021382,,
834,1042.5,-0.006003046,,
835,1043.75,-0.005984709,,
836,1045,-0.005966373,,
837,1046.25,-0.005961789,,
838,1047.5,-0.005948036,,
839,1048.75,-0.005925116,,
840,1050,-0.005902195,,
841,1051.25,-0.005893027,,
842,1052.5,-0.005897611,,
843,1053.75,-0.005897611,,
844,1055,-0.005893027,,
845,1056.25,-0.00587469,,
846,1057.5,-0.005856354,,
847,1058.75,-0.00585177,,
848,1060,-0.005842601,,
849,1061.25,-0.005828849,,
850,1062.5,-0.005801344,,
851,1063.75,-0.005778424,,
852,1065,-0.005764671,,
853,1066.25,-0.005750919,,
854,1067.5,-0.005732582,,
855,1068.75,-0.005727998,,
856,1070,-0.005709662,,
857,1071.25,-0.005682157,,
858,1072.5,-0.005659236,,
859,1073.75,-0.005650068,,
860,1075,-0.0056409,,
861,1076.25,-0.0056409,,
862,1077.5,-0.005617979,,
863,1078.75,-0.005599643,,
864,1080,-0.005590475,,
865,1081.25,-0.005572138,,
866,1082.5,-0.005558386,,
867,1083.75,-0.005549217,,
868,1085,-0.005521713,,
869,1086.25,-0.00550796,,
870,1087.5,-0.005498792,,
871,1088.75,-0.005494208,,
872,1090,-0.00548504,,
873,1091.25,-0.005475871,,
874,1092.5,-0.005448367,,
875,1093.75,-0.005416278,,
876,1095,-0.005397941,,
877,1096.25,-0.005393357,,
878,1097.5,-0.005379605,,
879,1098.75,-0.005370437,,
880,1100,-0.0053521,,
881,1101.25,-0.005333764,,
882,1102.5,-0.005320011,,
883,1103.75,-0.005306259,,
884,1105,-0.005283338,,
885,1106.25,-0.005265002,,
886,1107.5,-0.005232913,,
887,1108.75,-0.005214576,,
888,1110,-0.005200824,,
889,1111.25,-0.00519624,,
890,1112.5,-0.005187072,,
891,1113.75,-0.005168735,,
892,1115,-0.005136646,,
893,1116.25,-0.005127478,,
894,1117.5,-0.005109141,,
895,1118.75,-0.005095389,,
896,1120,-0.005077052,,
897,1121.25,-0.005049548,,
898,1122.5,-0.005022043,,
899,1123.75,-0.005008291,,
900,1125,-0.004999122,,
901,1126.25,-0.004989954,,
902,1127.5,-0.004967033,,
903,1128.75,-0.004953281,,
904,1130,-0.004921192,,
905,1131.25,-0.004902856,,
906,1132.5,-0.004889103,,
907,1133.75,-0.004879935,,
908,1135,-0.004861599,,
909,1136.25,-0.004838678,,
910,1137.5,-0.004815757,,
911,1138.75,-0.004797421,,
912,1140,-0.004779084,,
913,1141.25,-0.004765332,,
914,1142.5,-0.00475158,,
915,1143.75,-0.004737827,,
916,1145,-0.004710322,,
917,1146.25,-0.004687402,,
918,1147.5,-0.004669065,,
919,1148.75,-0.004650729,,
920,1150,-0.004623224,,
921,1151.25,-0.004595719,,
922,1152.5,-0.004568215,,
923,1153.75,-0.004545294,,
924,1155,-0.004536126,,
925,1156.25,-0.004522373,,
926,1157.5,-0.004490284,,
927,1158.75,-0.004467364,,
928,1160,-0.004453611,,
929,1161.25,-0.004430691,,
930,1162.5,-0.004421523,,
931,1163.75,-0.00440777,,
932,1165,-0.004380265,,
933,1166.25,-0.004375681,,
934,1167.5,-0.004366513,,
935,1168.75,-0.004361929,,
936,1170,-0.004343592,,
937,1171.25,-0.004320672,,
938,1172.5,-0.004297751,,
939,1173.75,-0.004279415,,
940,1175,-0.004270246,,
941,1176.25,-0.004265662,,
942,1177.5,-0.004256494,,
943,1178.75,-0.004242742,,
944,1180,-0.004228989,,
945,1181.25,-0.004210653,,
946,1182.5,-0.004201485,,
947,1183.75,-0.004192316,,
948,1185,-0.004178564,,
